# plane x_cr = 0.60 | grid 33 x 13, spacing 0.0219 x 0.0158 c_r | 405 of 429 nodes | y [-0.35,0.35] z [-0.03,0.16], bin-averaged from 19982 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
-0.191,0.138,1.124,0.286,0.142,-0.366,0.131,-12.358
-0.170,0.138,1.129,0.262,0.073,-0.350,-0.007,-12.217
-0.148,0.138,1.126,0.219,0.019,-0.317,0.019,-9.840
-0.127,0.138,1.119,0.173,-0.009,-0.283,-0.058,-7.203
-0.106,0.138,1.110,0.130,-0.022,-0.252,-0.024,-4.978
-0.085,0.138,1.102,0.090,-0.024,-0.226,-0.022,-3.186
-0.064,0.138,1.097,0.062,-0.023,-0.210,-0.068,-2.027
-0.042,0.138,1.092,0.038,-0.016,-0.197,0.013,-1.333
-0.021,0.138,1.090,0.019,-0.012,-0.190,0.047,-0.946
0.000,0.138,1.089,0.000,-0.011,-0.188,0.000,-0.680
0.021,0.138,1.090,-0.019,-0.012,-0.190,-0.047,-0.947
0.042,0.138,1.092,-0.038,-0.016,-0.197,-0.013,-1.335
0.064,0.138,1.097,-0.062,-0.023,-0.210,0.068,-2.032
